EmployeeID,MonthlyIncome,PercentSalaryHike,StockOptionLevel
306,12185,14,3
307,10609,12,2
308,4345,12,1
309,2177,17,1
311,2793,17,1
312,7918,14,1
314,8789,14,0
315,2389,13,0
316,3212,15,0
319,19232,11,0
321,2267,17,0
323,19517,11,1
325,2436,13,1
327,16064,22,1
328,2707,20,0
329,19068,18,0
330,3931,11,1
331,3730,14,0
332,2232,14,3
333,4465,18,0
334,3072,16,2
335,3319,17,2
336,19202,11,1
337,13675,12,1
338,2911,13,1
339,5957,13,1
340,3920,14,1
341,6434,17,1
342,10048,11,2
343,10938,25,0
346,2340,19,0
347,6545,13,0
349,6931,14,1
350,4898,12,2
351,2593,11,1
352,19436,19,1
353,2723,11,0
355,3479,11,0
359,2794,20,0
361,5249,18,1
362,2176,13,0
363,16872,12,1
364,3485,11,0
366,6644,19,2
367,5582,21,1
369,4000,12,2
372,13496,14,0
373,3210,11,1
374,19045,14,0
376,11849,12,1
377,2070,23,1
378,6502,14,1
379,3230,17,0
380,13603,18,2
381,11996,18,1
382,5605,24,1
384,6397,20,1
385,19144,14,2
386,17584,16,3
387,4907,25,0
388,4554,18,0
389,5415,19,1
390,4741,13,1
391,2115,12,0
392,3161,22,1
393,5745,14,1
394,2373,13,1
395,3310,21,0
396,18665,11,0
397,4485,12,0
399,2789,11,1
401,5828,12,0
403,2326,12,3
404,13525,14,1
405,1420,13,0
406,8020,15,2
407,3688,18,2
408,5482,18,1
410,16015,19,0
411,1200,12,0
412,5661,19,0
416,6929,11,1
417,9613,17,3
419,5674,15,1
420,5484,14,1
421,12061,17,1
422,5660,13,1
423,4821,12,1
424,6410,12,0
425,5210,18,1
426,2695,18,1
428,11878,11,2
429,17068,14,0
430,2455,19,0
431,13964,12,0
433,4941,15,0
434,2478,12,0
436,5228,11,0
437,4478,11,0
438,7547,12,3
439,5055,16,0
440,3464,13,0
441,5775,13,2
442,8943,24,1
444,19272,15,1
445,5238,18,0
446,4682,14,0
447,18300,11,1
448,5257,11,1
449,6349,13,1
450,4869,12,0
451,9985,16,1
452,3697,14,2
453,7457,22,3
454,2119,11,0
455,3983,17,0
456,6118,13,3
458,6214,18,1
460,6347,16,2
461,11510,14,1
462,7143,14,0
463,8268,14,2
464,8095,13,0
465,2904,12,2
466,6032,15,0
467,2976,19,0
468,15992,14,0
469,4649,14,1
470,2696,11,1
471,2370,13,1
473,12504,21,1
474,5974,13,2
475,4736,12,1
476,5296,17,1
477,6781,23,0
478,2174,11,0
479,6653,15,0
481,9699,11,1
482,6755,11,0
483,2213,13,1
484,2610,24,0
485,2851,13,0
486,3452,20,1
487,5258,14,0
488,9355,18,0
491,10496,15,0
492,6380,12,2
493,2657,16,0
494,2716,15,0
495,2201,16,0
496,6540,19,0
497,3816,11,1
498,5253,16,0
499,10965,24,0
500,4936,11,1
501,2543,13,1
502,5304,13,0
505,16659,13,0
507,4260,12,1
508,2476,18,1
510,3102,22,0
511,2244,13,1
513,7596,13,2
514,2285,23,0
515,3034,12,1
516,5715,12,2
517,2576,16,1
518,4197,12,0
520,14336,11,1
521,3448,22,1
522,19406,11,1
523,6538,15,1
524,4306,12,1
525,2258,20,1
526,4522,14,0
527,4487,11,0
529,4449,15,2
530,2218,12,1
531,19197,14,1
532,13212,11,3
533,6577,11,0
534,8392,16,1
536,4558,12,1
538,4031,13,1
543,7969,14,0
544,2654,21,2
546,16555,13,0
547,4556,11,1
548,6091,20,0
549,19566,11,0
550,4810,14,1
551,4523,11,3
554,3202,16,0
555,2351,16,1
556,1702,23,1
558,18041,14,0
560,2886,22,2
562,2097,15,1
564,11935,18,0
565,2546,16,0
566,2564,12,0
567,8412,11,0
568,14118,12,1
569,17046,15,1
571,2564,14,0
573,10266,19,0
574,5070,13,3
575,17861,13,0
577,4230,15,0
578,3780,11,0
579,2768,12,1
580,9071,19,1
581,10648,25,1
582,13610,12,0
584,3408,13,3
585,2983,14,0
586,7632,12,0
587,9824,12,0
590,9950,15,3
591,2093,17,1
592,9980,14,0
593,3894,16,0
595,4051,14,1
597,16835,23,0
599,6230,14,0
600,4717,11,0
601,13237,15,0
602,3755,11,1
604,6582,13,0
605,7406,21,1
606,4805,19,1
608,2741,11,1
611,4262,12,2
612,16184,19,1
613,11557,21,1
614,1878,14,0
615,10932,15,1
616,6811,17,0
618,4306,12,2
620,4859,16,0
621,5337,12,0
622,2340,18,0
623,7491,17,0
624,10527,11,0
625,16595,16,1
626,8834,13,1
630,5577,12,2
631,4707,12,0
632,2400,13,2
634,9824,19,1
635,6447,12,1
638,19502,17,1
639,2725,11,2
641,6272,20,2
643,2127,21,1
644,18200,11,1
645,2096,11,0
647,2886,16,1
648,2033,18,1
649,3622,13,1
650,4233,17,0
652,3681,14,0
653,5460,22,2
655,2187,12,2
656,9602,11,1
657,2836,13,0
659,4089,13,2
661,16627,14,1
662,2619,17,0
663,5679,13,1
664,15402,11,1
665,5985,11,0
666,2579,18,2
667,3041,11,1
669,3447,11,0
671,19513,12,1
675,2773,20,0
677,7104,12,0
679,6322,12,1
680,2083,20,1
682,8381,20,0
683,2691,12,1
684,4286,14,2
686,2659,13,1
689,9434,15,1
690,5561,14,1
691,6646,13,0
692,7725,23,1
698,10725,15,1
699,8847,11,1
700,2045,13,0
701,1009,11,0
702,3348,11,0
704,1281,18,2
705,2819,16,1
707,4851,22,1
709,4028,20,0
710,2720,18,1
712,8120,12,0
714,4647,20,2
715,4680,17,0
716,3221,11,3
717,8621,14,0
720,4577,14,0
721,4553,11,0
722,5396,12,0
723,6796,14,1
724,7625,13,0
725,7412,11,0
727,11159,15,0
728,4960,12,0
729,10475,21,1
730,14814,19,0
731,19141,15,3
732,5405,14,0
733,8793,21,2
734,19189,12,1
738,3875,15,1
741,2216,13,0
742,11713,14,1
743,7861,14,0
744,3708,14,0
746,13770,12,2
747,5304,23,1
749,2642,11,0
752,2759,12,0
754,6804,18,1
757,6142,11,0
758,2500,14,1
760,6389,15,1
762,11103,11,0
763,2342,20,0
764,6811,19,0
766,2297,14,2
769,2450,17,0
771,5093,11,1
772,5309,15,2
773,3057,13,1
775,5121,14,1
776,16856,11,0
780,2686,13,0
781,6180,23,0
783,6632,13,0
784,3505,18,0
785,6397,12,0
786,6274,22,0
787,19859,13,1
789,7587,15,0
791,4258,18,1
792,4364,14,1
793,4335,12,1
796,5326,17,0
797,3280,16,0
799,5485,11,2
800,4342,19,1
802,2782,13,2
803,5980,12,0
804,4381,11,0
805,2572,16,1
806,3833,21,2
807,4244,24,1
808,6500,17,1
809,18430,13,1
811,1601,21,2
812,2694,11,3
813,3149,20,1
815,17639,16,0
816,2319,11,1
817,11691,11,0
819,5324,15,0
820,16752,11,1
823,5228,15,1
824,2700,24,1
825,19246,12,0
826,2506,13,0
827,6062,13,1
828,4382,17,0
829,2143,13,1
830,6162,12,1
832,5094,14,0
833,6877,24,0
834,2274,14,0
836,4434,13,1
837,6288,15,1
838,2553,16,0
840,7654,18,2
842,5160,16,0
843,17159,24,1
844,12808,16,1
845,10221,21,0
846,4779,20,0
847,3737,19,1
848,2366,14,1
850,1706,11,3
851,16307,14,1
852,5933,12,0
854,3424,13,0
855,4037,22,1
856,2559,11,0
857,6201,14,1
859,4403,11,1
861,3761,12,1
862,10934,18,1
864,10761,12,1
865,5175,12,1
867,13826,22,0
868,6334,19,2
869,4936,13,1
872,4775,22,2
874,2818,24,1
875,2515,14,0
878,2342,21,0
879,4194,18,0
880,10685,20,1
881,2022,19,1
882,2314,12,1
885,4256,12,0
887,3580,16,1
888,3162,17,0
889,6524,14,1
893,2899,19,1
894,5231,13,1
895,2356,19,1
896,2800,19,3
897,11836,14,1
899,10903,16,0
900,2973,15,1
901,14275,18,0
902,5562,13,1
903,4537,22,1
904,7642,13,0
905,17924,11,1
909,5204,11,2
910,2277,11,1
911,2795,24,0
912,2532,14,3
913,2559,13,0
916,4908,14,0
918,2380,14,1
920,4765,21,1
922,2044,13,0
923,2693,19,0
924,6586,17,1
925,3294,18,0
926,4171,19,1
927,2778,13,1
930,2377,18,1
932,2404,21,0
933,2318,19,0
934,2008,14,2
936,6244,17,0
939,2799,11,0
940,10552,13,1
941,2329,15,0
942,4014,25,1
944,7403,11,1
945,2259,17,2
947,6932,13,1
949,4678,18,0
950,13582,13,1
951,2332,20,0
952,2413,18,3
954,9705,12,1
956,4294,12,0
957,4721,13,0
958,2519,21,0
959,2121,13,0
960,2973,19,0
961,5855,11,2
964,3617,14,1
966,6725,12,1
967,10325,11,1
969,6949,14,0
970,10609,11,0
972,4447,12,0
974,2157,15,1
975,4601,16,0
976,17099,15,1
977,2479,24,0
981,14852,13,1
982,7264,11,1
983,5666,13,0
984,7823,13,1
985,7880,18,0
986,13194,16,0
987,5067,19,0
990,5079,13,2
991,2321,22,0
992,17444,11,0
994,2404,20,0
995,3452,18,0
996,2270,14,2
997,17399,22,1
998,5488,13,1
999,19419,17,1
1001,2811,14,1
1002,3633,15,1
1003,4163,17,0
1004,2132,11,0
1005,13973,18,1
1006,2684,17,1
1007,10845,13,1
1009,4377,15,2
1010,3743,24,1
1011,4148,12,1
1012,1051,15,0
1013,10739,11,1
1014,10388,11,1
1015,11416,12,3
1016,2600,15,0
1017,2422,17,0
1018,5472,12,0
1019,2451,15,1
1022,4240,13,0
1024,10999,14,0
1025,5003,14,0
1026,12742,16,1
1027,4227,18,1
1028,3917,20,1
1029,18303,13,0
1030,2380,18,0
1032,13726,13,0
1033,4777,15,0
1034,6385,14,2
1035,19973,22,2
1036,6861,12,0
1037,4969,18,0
1038,19845,15,1
1039,13320,18,1
1040,6347,12,1
1042,2743,16,0
1043,10880,13,0
1044,2342,19,0
1045,17650,13,1
1046,4025,12,0
1047,9725,11,1
1048,11904,14,1
1049,2177,16,0
1050,7525,12,1
1052,4834,14,1
1053,2042,14,1
1055,2220,19,1
1056,1052,22,0
1060,2821,16,1
1061,19237,11,1
1062,4107,15,0
1066,8396,14,1
1068,2007,13,2
1069,19627,17,2
1070,10686,11,1
1071,2942,19,1
1073,8858,11,0
1074,16756,15,0
1076,10798,13,1
1077,2323,14,0
1079,1416,13,0
1080,4615,23,3
1081,2461,12,3
1082,8722,12,0
1083,3955,16,2
1084,9957,15,1
1085,3376,13,0
1088,8823,18,1
1092,10322,20,1
1094,4621,19,3
1096,10976,18,1
1097,3660,13,0
1098,10482,14,1
1099,7119,15,1
1100,9582,22,0
1101,4508,22,0
1102,2207,16,1
1103,7756,17,0
1105,6694,14,3
1106,3691,15,1
1107,2377,20,1
1108,2313,20,0
1109,17665,17,1
1111,2596,15,2
1113,4728,14,0
1114,4302,17,1
1115,2979,17,3
1116,16885,22,0
1117,5593,13,1
1118,10445,19,0
1119,8740,14,2
1120,2514,22,1
1121,7655,17,3
1124,17465,12,1
1125,7351,16,0
1126,10820,11,1
1127,12169,11,3
1128,19626,14,0
1131,2070,11,0
1132,6782,15,0
1133,7779,20,0
1135,2791,12,1
1136,3201,17,0
1137,4968,11,1
1138,13120,17,1
1140,4033,11,0
1143,3291,14,2
1148,4272,19,0
1150,5056,15,1
1152,2844,13,1
1154,2703,14,1
1156,1904,12,0
1157,8224,17,0
1158,4766,11,1
1160,2610,12,1
1161,5731,13,2
1162,2539,13,1
1163,5714,20,0
1164,4323,17,0
1165,7336,13,1
1166,13499,17,0
1167,13758,12,0
1171,5155,13,0
1172,2258,12,1
1173,3597,22,0
1175,2515,11,0
1177,4420,22,1
1179,6578,18,1
1180,4422,13,1
1182,10274,18,1
1184,5343,20,0
1185,2376,13,1
1188,5346,13,0
1190,2827,12,3
1191,19943,13,1
1192,3131,13,1
1193,2552,25,0
1195,4477,19,1
1196,6474,13,1
1198,3033,12,0
1200,2936,11,0
1201,18606,18,1
1202,2168,18,1
1203,2853,11,1
1204,17048,23,0
1206,2290,13,0
1207,3600,13,1
1210,2107,17,1
1211,4115,19,3
1212,4327,12,3
1215,17856,22,1
1216,3196,12,3
1217,19081,11,1
1218,8966,15,3
1219,2210,13,1
1220,4539,12,1
1221,2741,14,1
1224,3491,13,3
1225,4541,25,0
1226,2678,17,0
1228,7379,11,1
1231,6272,16,1
1233,5220,18,1
1234,2743,20,1
1235,4998,14,0
1237,10252,21,1
1238,2781,13,1
1239,6852,12,1
1240,4950,14,0
1241,3579,21,1
1242,13191,17,0
1243,10377,11,1
1244,2235,14,2
1245,10502,17,1
1246,2011,13,1
1248,1859,25,0
1249,3760,15,3
1250,17779,14,0
1251,6833,12,0
1252,6812,19,0
1254,5171,17,0
1255,19740,14,1
1256,18711,13,1
1257,3692,12,0
1258,2559,11,0
1259,2517,11,3
1260,6623,11,2
1263,18265,12,0
1264,16124,14,2
1265,2585,17,0
1267,18213,11,1
1268,8380,14,2
1269,2994,12,0
1270,1223,22,1
1273,1118,14,0
1275,2875,20,0
1277,18824,16,0
1278,13577,15,1
1279,2625,20,0
1280,18789,14,1
1281,4538,12,0
1282,19847,24,1
1283,10512,12,0
1285,4444,13,2
1286,2154,11,0
1288,19190,14,2
1289,4490,11,2
1291,3506,14,0
1292,2372,16,0
1293,10231,14,0
1294,5410,11,0
1295,7978,11,1
1296,3867,12,1
1297,2838,14,0
1298,4695,18,0
1299,3339,13,2
1301,2080,11,0
1303,2096,18,0
1304,6209,15,2
1306,18061,22,0
1307,17123,13,2
1308,2372,12,2
1309,4883,18,1
1310,3904,13,0
1311,4627,12,1
1312,7094,12,0
1314,3423,12,0
1315,6674,11,3
1317,16880,11,0
1318,9094,12,0
1319,8446,19,0
1321,11916,23,2
1322,4534,11,0
1324,9852,19,1
1329,6151,13,0
1331,2302,11,0
1333,2362,12,0
1334,17861,13,0
1336,19187,14,1
1338,19717,14,0
1340,3544,16,1
1344,8500,11,1
1346,4661,13,0
1349,4103,17,1
1350,4249,11,0
1352,14026,11,1
1355,6893,15,1
1356,6125,12,0
1358,3669,11,3
1360,10008,14,0
1361,2387,22,1
1362,4639,16,1
1363,7898,11,0
1364,2534,14,1
1367,13142,16,0
1368,1611,15,0
1369,5363,12,1
1371,5071,20,0
1372,13695,17,0
1373,13402,12,1
1374,2029,20,3
1375,6377,20,3
1377,5429,13,2
1379,2785,14,0
1380,4614,18,1
1382,2610,11,3
1383,6687,11,0
1387,4724,11,1
1389,6179,15,2
1390,6120,12,2
1391,10596,11,0
1392,5467,14,2
1394,2996,15,0
1395,9998,13,0
1396,4078,13,3
1397,10920,21,1
1399,6232,11,0
1401,13247,11,1
1402,4081,14,0
1403,5769,11,0
1405,2394,13,0
1407,3904,12,0
1408,16799,14,1
1409,2950,13,0
1411,3629,18,0
1412,9362,11,0
1415,3229,11,1
1417,3578,12,0
1419,7988,13,0
1420,4284,20,0
1421,7553,12,0
1422,17328,19,0
1423,19701,21,1
1424,14732,13,2
1425,9278,16,0
1427,1359,12,0
1428,4779,14,2
1430,16422,11,0
1431,2996,14,2
1433,1261,12,0
1434,2099,14,0
1435,5810,16,0
1436,5647,13,2
1438,3420,12,1
1439,4400,12,0
1440,3500,14,0
1441,2066,22,1
1443,17169,19,2
1445,4162,12,2
1446,9204,12,1
1447,3294,17,1
1448,2127,12,0
1449,3975,11,2
1453,10793,18,1
1457,10096,11,1
1458,3646,23,0
1459,7446,11,0
1460,10851,18,1
1461,2109,18,0
1464,3722,13,1
1465,9380,18,2
1466,5486,11,3
1467,2742,15,0
1468,13757,11,1
1469,8463,18,0
1471,3162,14,0
1472,16598,12,0
1473,6651,14,1
1474,2345,14,1
1475,3420,13,0
1477,4373,14,2
1478,4759,18,0
1479,5301,15,2
1480,3673,13,0
1481,4768,12,1
1482,1274,13,2
1483,4900,24,1
1484,10466,14,2
1485,17007,14,2
1486,2909,15,1
1487,5765,11,0
1489,4599,23,0
1492,2404,13,1
1494,3172,11,0
1495,2033,13,1
1496,10209,18,0
1497,8620,14,2
1499,2064,21,1
1501,4035,16,0
1502,3838,11,0
1503,4591,17,1
1504,2561,11,0
1506,1563,14,1
1507,4898,14,0
1509,4789,25,1
1513,3180,13,3
1514,6549,14,2
1515,6388,17,0
1516,11244,25,0
1520,16032,20,1
1522,2362,13,0
1523,16328,13,1
1525,8376,18,0
1527,16606,12,1
1529,8606,19,0
1533,2272,14,0
1534,2018,14,0
1535,7083,14,0
1537,4084,12,0
1539,14411,13,0
1541,2308,25,1
1542,4841,14,1
1543,4285,17,0
1544,9715,13,1
1545,4320,13,0
1546,2132,20,1
1547,10124,14,1
1548,5473,12,0
1549,5207,12,1
1550,16437,21,0
1551,2296,14,3
1552,4069,18,0
1553,7441,12,3
1554,2430,23,2
1555,5878,12,1
1556,2644,21,0
1557,6439,14,1
1558,2451,18,2
1560,6392,13,1
1562,9714,11,1
1563,6077,11,0
1564,2450,19,0
1568,9250,12,1
1569,2074,12,1
1572,10169,16,1
1573,4855,11,2
1574,4087,14,1
1576,2367,12,1
1577,2972,13,0
1578,19586,21,1
1580,5484,17,1
1581,2061,21,0
1582,9924,11,1
1583,4198,12,0
1585,6815,13,0
1586,4723,18,0
1587,6142,16,0
1588,8237,11,1
1590,8853,19,1
1591,19331,16,1
1592,2073,16,1
1594,5562,13,1
1595,19613,22,0
1596,3407,17,2
1597,5063,14,1
1598,4639,15,1
1599,4876,12,1
1601,2690,18,1
1602,17567,15,0
1604,2408,17,3
1605,2814,14,0
1606,11245,15,1
1607,3312,17,2
1608,19049,14,1
1609,2141,12,1
1611,5769,14,0
1612,4385,15,1
1613,5332,13,0
1614,4663,12,2
1615,4724,13,1
1617,3211,14,1
1618,5377,13,3
1619,4066,11,2
1621,5208,11,0
1622,4877,21,1
1623,3117,18,0
1624,1569,12,0
1625,19658,11,1
1627,3069,15,1
1628,10435,13,2
1630,4148,12,1
1631,5768,17,3
1633,5042,13,0
1635,5770,19,2
1638,7756,19,1
1639,10306,17,0
1640,3936,11,1
1641,7945,15,0
1642,5743,11,0
1644,15202,25,1
1645,5440,14,2
1646,3760,13,0
1647,3517,17,0
1648,2580,13,0
1649,2166,14,0
1650,5869,11,0
1651,8008,12,2
1653,5206,17,2
1654,5295,21,0
1655,16413,16,2
1656,13269,15,3
1657,2783,19,0
1658,5433,12,1
1659,2013,11,0
1661,13966,19,1
1662,4374,15,0
1664,6842,20,1
1665,17426,25,1
1666,17603,24,1
1667,4581,24,0
1668,4735,15,2
1669,4187,13,1
1670,5505,14,2
1671,5470,13,2
1673,5476,11,2
1674,2587,16,1
1675,2440,22,0
1676,15972,14,3
1677,15379,14,0
1678,7082,16,0
1680,2728,11,0
1681,5368,25,1
1682,5347,14,2
1683,3195,18,3
1684,3989,11,0
1687,3306,19,1
1689,7005,15,0
1691,2655,11,2
1692,1393,12,0
1693,2570,20,0
1694,3537,12,1
1696,3986,14,1
1697,10883,20,1
1698,2028,18,3
1700,9525,14,2
1701,2929,12,0
1702,2275,21,1
1703,7879,19,1
1704,4930,14,0
1706,7847,17,1
1707,4401,16,1
1708,9241,12,0
1709,2974,17,1
1710,4502,15,0
1712,10748,23,1
1714,1555,11,1
1716,12936,11,0
1718,2305,15,3
1719,16704,11,0
1720,3433,13,1
1721,3477,14,1
1722,6430,19,1
1724,6516,16,1
1725,3907,13,3
1727,5562,14,0
1728,6883,16,1
1729,2862,12,1
1731,4978,11,1
1732,10368,12,1
1733,6134,13,3
1734,6735,15,0
1735,3295,13,0
1736,5238,20,0
1737,6472,15,1
1739,9610,13,1
1740,19833,14,0
1744,9756,21,2
1745,4968,16,0
1746,2145,14,1
1747,2180,11,1
1749,8346,19,1
1751,3445,11,0
1752,2760,13,0
1753,6294,12,0
1754,7140,11,1
1755,2932,14,3
1756,5147,15,0
1757,4507,12,0
1758,8564,20,0
1760,2468,14,1
1761,8161,13,3
1762,2109,13,1
1763,5294,16,1
1764,2718,14,0
1766,5811,16,1
1767,2437,16,1
1768,2766,22,3
1770,19038,12,3
1771,3055,15,2
1772,2289,20,2
1774,4001,14,1
1775,12965,20,3
1778,3539,13,0
1779,6029,12,0
1780,2679,13,0
1782,3702,11,1
1783,2398,17,0
1784,5468,14,2
1786,13116,11,0
1787,4189,14,2
1789,19328,17,1
1790,8321,13,1
1792,2342,12,3
1794,4071,13,0
1797,5813,18,0
1798,3143,19,1
1799,2044,11,1
1800,13464,21,0
1801,7991,15,0
1802,3377,17,1
1803,5538,18,2
1804,5762,14,1
1805,2592,13,3
1807,5346,17,1
1809,4213,15,0
1812,4127,18,1
1813,2438,13,0
1814,6870,12,0
1815,10447,13,1
1816,9667,14,0
1818,2148,11,0
1821,8926,22,1
1822,6513,17,1
1823,6799,21,2
1824,16291,22,1
1826,2705,16,1
1827,10333,12,1
1829,4448,12,1
1830,6854,15,1
1833,9637,14,2
1834,3591,25,1
1835,5405,20,2
1836,4684,13,0
1837,15787,14,0
1839,1514,16,0
1842,2956,17,0
1844,2335,15,3
1845,5154,22,2
1847,6962,22,1
1849,5675,20,1
1850,2379,14,0
1852,3812,13,0
1853,4648,13,0
1854,2936,22,2
1856,2105,12,0
1857,8578,14,1
1858,2706,15,1
1859,6384,17,2
1860,3968,13,0
1862,9907,12,0
1863,13225,12,1
1864,3540,21,1
1865,2804,11,0
1866,19392,13,0
1867,19665,12,0
1868,2439,24,0
1869,7314,21,3
1870,4774,19,1
1871,3902,14,3
1873,2662,20,1
1875,2856,19,1
1876,1081,13,0
1878,2472,23,0
1880,5673,13,1
1881,4197,11,1
1882,9713,13,3
1883,2062,14,0
1885,4284,22,1
1886,4788,11,0
1888,5906,13,2
1890,3886,21,0
1892,16823,11,1
1893,2933,13,1
1898,6500,14,0
1900,17174,11,1
1903,5033,15,1
1905,2307,23,1
1907,2587,16,0
1908,5507,16,2
1909,4393,21,1
1911,13348,13,1
1912,6583,11,1
1915,8103,12,0
1916,3978,12,1
1918,2544,18,1
1922,5399,12,0
1924,5487,14,0
1927,6834,12,1
1928,1091,17,0
1929,5736,19,1
1931,2226,11,1
1932,5747,15,0
1933,9854,11,0
1934,5467,18,1
1935,5380,16,1
1936,5151,25,1
1937,2133,16,1
1938,17875,13,1
1939,2432,14,0
1940,4771,19,2
1941,19161,15,0
1943,5087,12,2
1944,2863,12,0
1945,5561,16,1
1947,2144,14,0
1948,3065,13,1
1949,2810,22,0
1950,9888,21,0
1951,8628,18,1
1952,2867,13,0
1954,5373,12,1
1955,6667,18,1
1956,5003,21,0
1960,2367,12,1
1961,2858,14,0
1962,5204,11,0
1965,4105,14,0
1966,9679,24,0
1967,5617,11,0
1968,10448,13,0
1969,2897,11,2
1970,5968,20,3
1971,7510,17,1
1972,2991,11,1
1973,19636,18,1
1974,1129,11,3
1975,13341,12,0
1976,4332,12,0
1979,11031,20,1
1980,4440,19,0
1981,4617,12,0
1982,2647,13,0
1985,6323,11,1
1986,5677,14,1
1987,2187,14,0
1989,3748,13,0
1992,3977,19,1
1993,8633,23,0
1994,2008,12,3
1995,4440,15,2
1996,3067,19,1
1997,5321,11,1
1998,5410,17,1
1999,2782,22,1
2000,11957,18,2
2003,2660,11,1
2007,3375,12,0
2008,5098,19,0
2009,4878,13,1
2010,2837,13,0
2012,2406,19,2
2013,2269,14,1
2014,4108,13,0
2015,13206,12,1
2016,10422,19,2
2017,13744,25,1
2018,4907,22,1
2019,3482,15,2
2020,2436,12,0
2021,2380,11,0
2022,19431,13,0
2023,1790,19,1
2024,7644,19,2
2025,5131,13,3
2026,6306,21,1
2027,4787,14,3
2031,18880,11,0
2032,2339,11,1
2034,13570,23,1
2035,6712,21,2
2036,5406,24,1
2037,8938,11,1
2038,2439,14,0
2040,8837,16,0
2041,5343,11,1
2044,6728,12,2
2045,6652,13,1
2046,4850,15,0
2048,2809,14,0
2049,5689,14,2
2051,2001,14,3
2052,2977,12,1
2053,4025,13,1
2054,3785,14,0
2055,10854,13,1
2056,12031,11,1
2057,9936,19,0
